top - 16:49:05 up 20:24,  1 user,  load average: 0.33, 2.20, 4.30
Tasks: 231 total,   2 running, 227 sleeping,   0 stopped,   2 zombie
%Cpu(s): 13.9 us, 16.7 sy,  0.0 ni, 68.9 id,  0.4 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem :  3916032 total,   711884 free,  2043596 used,  1160552 buff/cache
KiB Swap:  4061180 total,  4015580 free,    45600 used.  1280060 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 6303 naluvjyo  20   0 3386896 992236  86152 R  26.7 25.3  18:59.68 firefox
  948 root      20   0  447744  92332  74548 S   6.7  2.4   2:42.93 Xorg
    1 root      20   0  119784   5836   3948 S   0.0  0.1   0:07.86 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    3 root      20   0       0      0      0 S   0.0  0.0   2:51.44 ksoftirqd/0
    5 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/0:+
    7 root      20   0       0      0      0 S   0.0  0.0   0:35.38 rcu_sched
    8 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_bh
    9 root      rt   0       0      0      0 S   0.0  0.0   0:02.90 migration/0
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.21 watchdog/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.19 watchdog/1
   12 root      rt   0       0      0      0 S   0.0  0.0   0:02.92 migration/1
   13 root      20   0       0      0      0 S   0.0  0.0   2:48.26 ksoftirqd/1
   15 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   17 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
   18 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 perf
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.02 khungtaskd
   20 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
   21 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   22 root      39  19       0      0      0 S   0.0  0.0   0:02.09 khugepaged
   23 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
   24 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
   25 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
   26 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
   27 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
   28 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
   29 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
   34 root      20   0       0      0      0 S   0.0  0.0   0:00.12 kswapd0
   35 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vmstat
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_m+
